Economy,Year,Economy Code,"Birth rate, crude (per 1,000 people)",GDP (current US$)
Afghanistan,2022,AFG,35.143,14502158192.090
Albania,2022,ALB,10.116,
Albania,2023,ALB,,22977677860.798
Algeria,2022,DZA,20.572,
Algeria,2023,DZA,,239899491127.742
American Samoa,2022,ASM,13.800,871000000.000
Andorra,2022,AND,6.200,
Andorra,2023,AND,,3727673593.019
Angola,2022,AGO,38.200,
Angola,2023,AGO,,84722957642.376
Antigua and Barbuda,2022,ATG,11.984,
Antigua and Barbuda,2023,ATG,,2033085185.185
Argentina,2022,ARG,13.794,
Argentina,2023,ARG,,640591410663.883
Armenia,2022,ARM,11.700,
Armenia,2023,ARM,,24212134631.064
Aruba,2022,ABW,7.178,3544707788.057
Australia,2022,AUS,11.600,
Australia,2023,AUS,,1723827215334.710
Austria,2022,AUT,9.100,
Austria,2023,AUT,,516034144115.950
Azerbaijan,2022,AZE,12.100,
Azerbaijan,2023,AZE,,72356176470.588
"Bahamas, The",2022,BHS,11.379,
"Bahamas, The",2023,BHS,,14338500000.000
Bahrain,2022,BHR,11.454,
Bahrain,2023,BHR,,43205000000.000
Bangladesh,2022,BGD,17.480,
Bangladesh,2023,BGD,,437415331040.994
Barbados,2022,BRB,10.783,
Barbados,2023,BRB,,6393564189.613
Belarus,2022,BLR,9.165,
Belarus,2023,BLR,,71857382745.607
Belgium,2022,BEL,9.800,
Belgium,2023,BEL,,632216577075.109
Belize,2022,BLZ,17.763,
Belize,2023,BLZ,,3281500000.000
Benin,2022,BEN,36.071,
Benin,2023,BEN,,19673284686.002
Bermuda,2022,BMU,7.500,7827980000.000
Bhutan,2022,BTN,12.332,2898227713.223
Bolivia,2022,BOL,21.599,
Bolivia,2023,BOL,,45849832906.414
Bosnia and Herzegovina,2022,BIH,8.278,
Bosnia and Herzegovina,2023,BIH,,27054889362.885
Botswana,2022,BWA,23.036,
Botswana,2023,BWA,,19395765126.313
Brazil,2022,BRA,12.649,
Brazil,2023,BRA,,2173665655937.270
British Virgin Islands,2022,VGB,7.640,
British Virgin Islands,2023,VGB,,
Brunei Darussalam,2022,BRN,13.493,
Brunei Darussalam,2023,BRN,,15128292953.510
Bulgaria,2022,BGR,8.800,
Bulgaria,2023,BGR,,101584384672.786
Burkina Faso,2022,BFA,34.952,
Burkina Faso,2023,BFA,,20324617838.968
Burundi,2022,BDI,34.109,
Burundi,2023,BDI,,2642161668.928
Cabo Verde,2022,CPV,16.686,
Cabo Verde,2023,CPV,,2587252076.306
Cambodia,2022,KHM,18.969,
Cambodia,2023,KHM,,31772759998.857
Cameroon,2022,CMR,34.352,
Cameroon,2023,CMR,,47945510090.053
Canada,2022,CAN,9.000,
Canada,2023,CAN,,2140085567791.450
Cayman Islands,2022,CYM,11.700,6600844001.537
Central African Republic,2022,CAF,42.344,
Central African Republic,2023,CAF,,2555492085.248
Chad,2022,TCD,43.184,
Chad,2023,TCD,,13149325358.738
Channel Islands,2022,CHI,10.219,11228317318.765
Chile,2022,CHL,11.755,
Chile,2023,CHL,,335533331669.219
China,2022,CHN,6.770,
China,2023,CHN,,17794781986104.500
Colombia,2022,COL,13.921,
Colombia,2023,COL,,363540156234.868
Comoros,2022,COM,28.887,
Comoros,2023,COM,,1352380972.157
"Congo, Dem. Rep.",2022,COD,41.737,
"Congo, Dem. Rep.",2023,COD,,66383287002.997
"Congo, Rep.",2022,COG,30.175,
"Congo, Rep.",2023,COG,,15321055818.326
Costa Rica,2022,CRI,11.686,
Costa Rica,2023,CRI,,86497941439.017
Cote d'Ivoire,2022,CIV,33.492,
Cote d'Ivoire,2023,CIV,,78788828906.863
Croatia,2022,HRV,8.800,
Croatia,2023,HRV,,82688842717.393
Cuba,2022,CUB,8.889,
Cuba,2020,CUB,,107351800000.000
Curacao,2022,CUW,8.200,3073840325.433
Cyprus,2022,CYP,10.023,
Cyprus,2023,CYP,,32229622669.195
Czechia,2022,CZE,9.500,
Czechia,2023,CZE,,330858339871.686
Denmark,2022,DNK,9.900,
Denmark,2023,DNK,,404198757537.974
Djibouti,2022,DJI,21.911,
Djibouti,2023,DJI,,4098530513.558
Dominica,2022,DMA,13.278,
Dominica,2023,DMA,,653992592.593
Dominican Republic,2022,DOM,18.111,
Dominican Republic,2023,DOM,,121444279313.931
Ecuador,2022,ECU,16.583,
Ecuador,2023,ECU,,118844826000.000
"Egypt, Arab Rep.",2022,EGY,22.107,
"Egypt, Arab Rep.",2023,EGY,,395926075163.006
El Salvador,2022,SLV,15.803,
El Salvador,2023,SLV,,34015620000.000
Equatorial Guinea,2022,GNQ,29.865,
Equatorial Guinea,2023,GNQ,,12116922539.411
Eritrea,2022,ERI,28.426,
Eritrea,2023,ERI,,
Estonia,2022,EST,8.600,
Estonia,2023,EST,,40744848827.954
Eswatini,2022,SWZ,23.642,
Eswatini,2023,SWZ,,4597855845.043
Ethiopia,2022,ETH,31.835,
Ethiopia,2023,ETH,,163697927593.982
Faroe Islands,2022,FRO,11.800,3555929833.051
Fiji,2022,FJI,19.131,
Fiji,2023,FJI,,5494797540.734
Finland,2022,FIN,8.100,
Finland,2023,FIN,,300187202696.084
France,2022,FRA,10.600,
France,2023,FRA,,3030904089607.900
French Polynesia,2022,PYF,12.550,5814661208.905
Gabon,2022,GAB,26.803,
Gabon,2023,GAB,,20516134388.661
"Gambia, The",2022,GMB,32.696,
"Gambia, The",2023,GMB,,2339904156.792
Georgia,2022,GEO,13.099,
Georgia,2023,GEO,,30535530479.023
Germany,2022,DEU,8.800,
Germany,2023,DEU,,4456081016705.960
Ghana,2022,GHA,27.080,
Ghana,2023,GHA,,76370394412.416
Gibraltar,2022,GIB,10.564,
Gibraltar,2023,GIB,,
Greece,2022,GRC,7.300,
Greece,2023,GRC,,238206312632.528
Greenland,2022,GRL,13.200,
Greenland,2021,GRL,,3235809504.299
Grenada,2022,GRD,15.616,
Grenada,2023,GRD,,1320334235.589
Guam,2022,GUM,16.374,6910000000.000
Guatemala,2022,GTM,20.861,
Guatemala,2023,GTM,,102050473863.636
Guinea,2022,GIN,33.855,
Guinea,2023,GIN,,23612295818.096
Guinea-Bissau,2022,GNB,30.611,
Guinea-Bissau,2023,GNB,,1966461400.358
Guyana,2022,GUY,19.897,
Guyana,2023,GUY,,16786302158.273
Haiti,2022,HTI,23.146,
Haiti,2023,HTI,,19850829757.747
Honduras,2022,HND,20.850,
Honduras,2023,HND,,34400509852.044
"Hong Kong SAR, China",2022,HKG,4.400,
"Hong Kong SAR, China",2023,HKG,,382054574298.529
Hungary,2022,HUN,9.300,
Hungary,2023,HUN,,212388906458.724
Iceland,2022,ISL,11.500,
Iceland,2023,ISL,,31020032583.197
India,2022,IND,16.267,
India,2023,IND,,3549918918777.530
Indonesia,2022,IDN,16.196,
Indonesia,2023,IDN,,1371171152331.160
"Iran, Islamic Rep.",2022,IRN,13.242,
"Iran, Islamic Rep.",2023,IRN,,401504514718.718
Iraq,2022,IRQ,27.035,
Iraq,2023,IRQ,,250842782139.464
Ireland,2022,IRL,11.200,
Ireland,2023,IRL,,545629450403.735
Isle of Man,2022,IMN,8.584,
Isle of Man,2021,IMN,,7931193222.064
Israel,2022,ISR,19.000,
Israel,2023,ISR,,509901495702.103
Italy,2022,ITA,6.700,
Italy,2023,ITA,,2254851212731.800
Jamaica,2022,JAM,11.531,
Jamaica,2023,JAM,,19423355367.237
Japan,2022,JPN,6.300,
Japan,2023,JPN,,4212945159781.400
